trial,payload,size,time
1,1,10000,0.879
1,1,100000,8.263
1,1,1000000,59.198
1,1,10000000,695.839
1,1,50000000,3752.919
1,1,100000000,7863.078
1,64,10000,1.211
1,64,100000,4.834
1,64,1000000,58.235
1,64,10000000,674.934
1,64,50000000,3814.423
1,64,100000000,7916.123
