trial,records,payload_max,cutoff,threads,build_index_s,sort_records_s,rewrite_sorted_s,total_time_s
1,1000000,128,100000,16,116.540,39.900,1202.196,1400.643
1,1000000,128,100000,32,116.183,40.946,1554.718,1757.152
1,10000000,8,1000,1,1700.277,1082.362,3514.036,6388.686
1,10000000,8,1000,2,324.971,1950.349,3759.022,6125.666
1,10000000,8,1000,4,327.736,798.491,3488.901,4707.676
1,10000000,8,1000,8,335.612,521.899,3728.556,4696.272
1,10000000,8,1000,16,332.309,467.049,4315.076,5207.987
1,10000000,8,1000,32,326.562,465.264,3188.912,4073.077
1,10000000,8,10000,1,326.555,1082.546,3777.399,5282.995
1,10000000,8,10000,2,327.999,1794.878,3052.274,5264.628
1,10000000,8,10000,4,339.768,735.672,1815.015,2970.600
1,10000000,8,10000,8,409.465,483.892,1757.575,2783.549
1,10000000,8,10000,16,331.033,418.901,28296.118,29322.074
1,10000000,8,10000,32,339.810,418.517,5018.996,5858.929
1,10000000,8,100000,1,333.638,1083.853,4990.440,8934.051
1,10000000,8,100000,2,330.742,1665.970,4662.261,7119.453
1,10000000,8,100000,4,396.201,690.285,4404.167,5587.525
1,10000000,8,100000,8,326.317,459.964,3433.977,4310.448
1,10000000,8,100000,16,330.416,377.117,4113.152,4911.285
1,10000000,8,100000,32,326.705,388.651,3309.695,4120.677
1,10000000,32,1000,1,1572.043,1083.897,5184.120,7993.870
1,10000000,32,1000,2,486.400,1957.443,5086.616,7672.928
1,10000000,32,1000,4,488.332,798.867,5542.745,6977.328
1,10000000,32,1000,8,493.272,523.731,5295.135,6459.424
1,10000000,32,1000,16,485.362,466.906,5538.968,6641.180
1,10000000,32,1000,32,501.271,463.843,6625.198,7741.379
1,10000000,32,10000,1,490.207,1084.028,5260.566,6982.460
1,10000000,32,10000,2,495.061,1792.775,5656.690,8106.770
1,10000000,32,10000,4,664.800,735.570,2376.883,6462.760
1,10000000,32,10000,8,511.127,486.516,48051.229,49185.604
1,10000000,32,10000,16,498.608,420.768,4707.073,5770.476
1,10000000,32,10000,32,603.322,417.451,2910.302,4085.690
1,10000000,32,100000,1,502.870,1083.167,8936.123,13144.632
1,10000000,32,100000,2,504.407,1663.410,10206.809,13141.033
1,10000000,32,100000,4,713.463,690.448,5088.391,6653.819
1,10000000,32,100000,8,507.666,459.651,6304.561,7418.958
1,10000000,32,100000,16,499.398,375.216,5278.337,6298.975
1,10000000,32,100000,32,499.218,385.724,5114.187,6142.493
1,10000000,128,1000,1,1476.900,1083.472,12475.319,15349.644
1,10000000,128,1000,2,1136.941,1954.018,11924.352,15369.138
1,10000000,128,1000,4,1132.314,798.264,13293.261,15535.811
1,10000000,128,1000,8,1165.699,525.189,13530.550,15536.397
1,10000000,128,1000,16,1149.975,469.492,13078.217,15011.940
1,10000000,128,1000,32,1138.009,469.868,12980.686,14900.593
1,10000000,128,10000,1,1168.310,1084.473,13215.469,15781.613
