trial,records,payload_max,cutoff,threads,nodes,total_ranks,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,100000000,128,10000,2,1,1,0.853,12362.952,26639.938,361760.944,3682.856,1
1,100000000,128,10000,4,1,1,0.860,12571.935,23185.209,408816.647,3451.293,1
1,100000000,128,10000,8,1,1,0.927,12742.900,19616.793,375028.157,3416.405,1
1,100000000,128,10000,16,1,1,0.853,12643.658,17642.454,113114.901,3327.307,1
1,100000000,128,10000,32,1,1,0.761,11429.283,15176.277,366454.315,3372.774,1
1,100000,8,10000,1,2,2,0.959,11.722,21.047,70.006,13.797,1
1,100000,8,10000,2,2,2,0.870,21.870,30.936,64.505,11.644,1
1,100000,8,10000,4,2,2,0.975,11.692,21.480,64.326,11.298,1
1,100000,8,10000,8,2,2,1.204,10.991,22.554,75.995,13.387,1
1,100000,8,10000,16,2,2,0.891,21.766,31.877,60.792,12.587,1
1,100000,8,10000,32,2,2,0.793,11.456,21.607,66.347,13.877,1
1,100000,32,10000,1,2,2,0.991,21.723,31.060,80.395,13.076,1
1,100000,32,10000,2,2,2,0.849,10.956,19.747,84.711,13.758,1
1,100000,32,10000,4,2,2,0.960,21.376,31.121,82.362,17.522,1
1,100000,32,10000,8,2,2,0.881,20.443,29.989,81.741,13.238,1
1,100000,32,10000,16,2,2,0.889,21.897,31.833,84.153,13.553,1
1,100000,32,10000,32,2,2,0.857,11.488,21.911,83.688,16.404,1
1,100000,128,10000,1,2,2,0.946,31.614,41.058,169.248,13.694,1
1,100000,128,10000,2,2,2,0.839,31.889,41.420,1450.686,15.523,1
1,100000,128,10000,4,2,2,0.847,32.024,42.080,190.569,17.551,1
1,100000,128,10000,8,2,2,0.885,32.097,41.738,214.361,16.497,1
1,100000,128,10000,16,2,2,0.902,31.903,41.373,257.520,24.196,1
1,100000,128,10000,32,2,2,0.756,31.911,42.560,505.401,15.300,1
1,1000000,8,10000,1,2,2,0.840,61.676,160.074,545.062,22.580,1
1,1000000,8,10000,2,2,2,0.855,62.099,147.036,391.003,20.483,1
1,1000000,8,10000,4,2,2,0.839,64.258,143.304,334.061,21.191,1
1,1000000,8,10000,8,2,2,0.817,66.858,136.488,642.148,22.739,1
1,1000000,8,10000,16,2,2,1.026,64.223,127.815,425.273,21.789,1
1,1000000,8,10000,32,2,2,0.888,58.421,121.197,541.939,21.765,1
1,1000000,32,10000,1,2,2,0.995,85.043,182.075,1620.325,33.845,1
1,1000000,32,10000,2,2,2,0.889,83.615,169.996,572.177,29.232,1
1,1000000,32,10000,4,2,2,0.859,89.613,170.376,668.307,29.928,1
1,1000000,32,10000,8,2,2,0.868,83.291,150.820,308.508,38.670,1
1,1000000,32,10000,16,2,2,1.006,83.666,147.441,300.425,25.419,1
1,1000000,32,10000,32,2,2,0.801,72.173,135.177,288.597,15.989,1
1,1000000,128,10000,1,2,2,0.865,154.064,251.281,691.899,43.454,1
1,1000000,128,10000,2,2,2,1.017,163.162,245.402,723.703,40.669,1
1,1000000,128,10000,4,2,2,1.135,169.075,244.739,710.846,37.707,1
